Question No.,Question,Prompt Type,Model Used,Top Retrieved Source,Top Retrieval Score,All Retrieved Sources,Generated Answer,Answer Word Count,Mentions Source/Citation,Detects Insufficient Context,API Error,Manual Relevance Score (1-5),Manual Correctness Score (1-5),Manual Grounding Score (1-5),"Manual Hallucination Score (1-5, lower is better)",Manual Notes / Issues
1,What is the minimum annual leave in the UAE?,Original,gemini-2.5-flash,Annual leave _ The Official Platform of the UAE Government.txt,0.7205,"1. Annual leave _ The Official Platform of the UAE Government.txt | chunk 9 | score 0.7205
2. Annual leave _ The Official Platform of the UAE Government.txt | chunk 11 | score 0.7023
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 632 | score 0.419
4. Remote Work Guide in the Private Sector - EN.txt | chunk 1858 | score 0.4067
5. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 631 | score 0.4059","The minimum annual leave entitlement in the UAE is 2 days of leave for each month of service, applicable when the period of service exceeds six months but is less than one year (Source: Annual leave _ The Official Platform of the UAE Government.txt, Remote Work Guide in the Private Sector - EN.txt).

For employees who have completed one year of service, the entitlement is a fully paid annual leave of 30 days (Source: Annual leave _ The Official Platform of the UAE Government.txt, Remote Work Guide in the Private Sector - EN.txt).",93,Yes,No,,,,,,
1,What is the minimum annual leave in the UAE?,Strict,gemini-2.5-flash,Annual leave _ The Official Platform of the UAE Government.txt,0.7205,"1. Annual leave _ The Official Platform of the UAE Government.txt | chunk 9 | score 0.7205
2. Annual leave _ The Official Platform of the UAE Government.txt | chunk 11 | score 0.7023
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 632 | score 0.419
4. Remote Work Guide in the Private Sector - EN.txt | chunk 1858 | score 0.4067
5. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 631 | score 0.4059","Employees are entitled to 2 days of leave for each month of service if their period of service exceeds six months but is less than one year. Employees become entitled to annual leave after completing six months of service. Therefore, the minimum annual leave an employee is entitled to upon becoming eligible is 12 days (2 days per month for six months).",62,No,No,,,,,,
1,What is the minimum annual leave in the UAE?,Citational,gemini-2.5-flash,Annual leave _ The Official Platform of the UAE Government.txt,0.7205,"1. Annual leave _ The Official Platform of the UAE Government.txt | chunk 9 | score 0.7205
2. Annual leave _ The Official Platform of the UAE Government.txt | chunk 11 | score 0.7023
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 632 | score 0.419
4. Remote Work Guide in the Private Sector - EN.txt | chunk 1858 | score 0.4067
5. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 631 | score 0.4059","- Answer: Employees are entitled to annual leave upon completing six months of service. For service exceeding six months but less than one year, the employee is entitled to two days of leave for each month of service. If an employee has completed one year of service, they are entitled to a fully paid annual leave of 30 days.
- Evidence: Annual leave _ The Official Platform of the UAE Government.txt, Chunk Index: 11; Annual leave _ The Official Platform of the UAE Government.txt, Chunk Index: 9; Remote Work Guide in the Private Sector - EN.txt, Chunk Index: 1858.",99,Yes,No,,,,,,
1,What is the minimum annual leave in the UAE?,Simple,gemini-2.5-flash,Annual leave _ The Official Platform of the UAE Government.txt,0.7205,"1. Annual leave _ The Official Platform of the UAE Government.txt | chunk 9 | score 0.7205
2. Annual leave _ The Official Platform of the UAE Government.txt | chunk 11 | score 0.7023
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 632 | score 0.419
4. Remote Work Guide in the Private Sector - EN.txt | chunk 1858 | score 0.4067
5. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 631 | score 0.4059","Based on the provided information:

Employees become entitled to annual leave after completing six months of service. For service that exceeds six months but is less than one year, employees are entitled to 2 days of leave for each month they have worked.

Therefore, for an employee who has completed six months of service, the minimum annual leave they would be entitled to is 12 days (2 days x 6 months).",71,No,No,,,,,,
2,How is end of service gratuity calculated?,Original,gemini-2.5-flash,Awareness Guide for New Employers Companies - EN_639011571513592816.txt,0.8787,"1. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 28 | score 0.8787
2. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 1032 | score 0.7703
3. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 386 | score 0.7
4. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 390 | score 0.6645
5. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 1080 | score 0.5278","The end-of-service gratuity is calculated based on the employee's last basic wage or basic salary received. It does not include allowances such as housing, transportation, utilities, or furniture.

For foreign full-time workers who have completed one or more years of continuous service, the gratuity is calculated according to the basic wage (Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations, Article 51; End of service benefits for workers in the private sector _ The Official Platform of the UAE Government; Awareness Guide for New Employers Companies - EN_639011571513592816.txt). Workers are entitled to gratuity for fractions of a year, proportionate to the time served, provided they have completed one year of continuous service (End of service benefits for workers in the private sector _ The Official Platform of the UAE Government).

For national workers, the end-of-service gratuity is calculated in accordance with the legislation regulating pensions and social security in force in the State (Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations, Article 51; Awareness Guide for New Employers Companies - EN_639011571513592816.txt).

In all cases, the total gratuity shall not exceed the wage of 2 years (End of service benefits for workers in the private sector _ The Official Platform of the UAE Government).",210,Yes,No,,,,,,
2,How is end of service gratuity calculated?,Strict,gemini-2.5-flash,Awareness Guide for New Employers Companies - EN_639011571513592816.txt,0.8787,"1. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 28 | score 0.8787
2. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 1032 | score 0.7703
3. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 386 | score 0.7
4. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 390 | score 0.6645
5. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 1080 | score 0.5278","The end-of-service gratuity for a foreign full-time worker is calculated according to the basic wage, specifically the last basic wage received, and does not include allowances such as housing, transportation, utilities, or furniture.

For a national worker, the end-of-service gratuity is calculated in accordance with the legislation regulating pensions and social security in force in the State.

Workers are entitled to gratuity for fractions of a year, proportionate to the time served, provided they have completed one year of continuous service. Days of unpaid absence are not included in service calculations. The total gratuity shall not exceed the wage of 2 years.

Subject to specific provisions, the employer may calculate the end-of-service gratuity in accordance with the provisions of the indefinite-term employment contract stipulated in Federal Law No. (8) of 1980.",131,No,No,,,,,,
2,How is end of service gratuity calculated?,Citational,gemini-2.5-flash,Awareness Guide for New Employers Companies - EN_639011571513592816.txt,0.8787,"1. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 28 | score 0.8787
2. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 1032 | score 0.7703
3. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 386 | score 0.7
4. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 390 | score 0.6645
5. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 1080 | score 0.5278","- Answer: The end-of-service gratuity is calculated based on the employee's last basic wage received. It is calculated on the basis of the last wage the worker was entitled to, specifically the basic salary, and does not include allowances such as housing, transportation, utilities, or furniture.
    *   For foreign full-time workers, if they have completed one or more years of continuous service, they are entitled to a gratuity calculated according to their basic wage. Workers are entitled to gratuity for fractions of a year, proportionate to the time served, provided they have completed one year of continuous service. Days of unpaid absence are not included in service calculations.
    *   National workers are entitled to an end-of-service gratuity upon the end of their service in accordance with the legislation regulating pensions and social security in force in the State.
    *   In all cases, the total gratuity shall not exceed the wage of 2 years.

- Evidence:
    *   Awareness Guide for New Employers Companies - EN_639011571513592816.txt, Chunk 28
    *   Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt, Chunk 1032
    *   End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt, Chunk 386
    *   End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt, Chunk 390",223,Yes,No,,,,,,
2,How is end of service gratuity calculated?,Simple,gemini-2.5-flash,Awareness Guide for New Employers Companies - EN_639011571513592816.txt,0.8787,"1. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 28 | score 0.8787
2. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 1032 | score 0.7703
3. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 386 | score 0.7
4. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 390 | score 0.6645
5. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 1080 | score 0.5278","Here's how end-of-service gratuity is calculated:

For **foreign full-time workers**:
*   It's calculated based on your **last basic wage** received.
*   It **does not include** any allowances like housing, transportation, utilities, or furniture.
*   Days you were absent without pay are **not included** when calculating your service period.
*   You can receive gratuity for fractions of a year, provided you have completed at least one year of continuous service.
*   The total gratuity you receive **cannot be more than** the equivalent of two years' wages.

For **national employees/workers**:
*   Your end-of-service gratuity is calculated according to the specific laws that cover **pensions and social security** in the State.",108,No,No,,,,,,
3,What are the rules for probation period?,Original,gemini-2.5-flash,Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt,0.7233,"1. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 901 | score 0.7233
2. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 822 | score 0.6809
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 786 | score 0.6595
4. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 872 | score 0.4422
5. Full Time Employment Contract  Non-UAE Final.txt | chunk 1729 | score 0.44","The rules for the probation period are as follows:

*   **Purpose:** The probation period allows the employer to evaluate the worker's performance and enables the worker to become familiar with job duties and the work environment. Based on this, it is determined whether the employment contract will continue or be terminated (Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations, Chunk 4).

*   **Maximum Duration:** The probation period cannot exceed six (6) months from the date of commencing work (Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations, Article 9; Executive Regulations Of Human Resources Law in the Federal Government, Article 5, Article 6). A specific employment contract may set it as a three (3) month period, extendable by a further three (3) months (Full Time Employment Contract Non-UAE Final, Article 10).

*   **Extension:** For Federal Government employees, the six-month probation period may be extended for three months (Executive Regulations Of Human Resources Law in the Federal Government, Article 5, Article 6).

*   **Termination by Employer during Probation:**
    *   Under the Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations (Article 9), the employer may terminate the worker's service during probation after notifying the worker in writing at least fourteen (14) days prior to the specified termination date.
    *   For Federal Government employees (Executive Regulations Of Human Resources Law in the Federal Government, Article 5, Article 6), the employer may terminate service after serving a five working-day notice.

*   **Resignation by Employee during Probation:**
    *   For Federal Government employees (Executive Regulations Of Human Resources Law in the Federal Government, Article 5, Article 6), the employee may resign during the probation period after notifying the employer by a similar (five working-day) notice on the date set for resignation.",296,Yes,No,,,,,,
3,What are the rules for probation period?,Strict,gemini-2.5-flash,Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt,0.7233,"1. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 901 | score 0.7233
2. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 822 | score 0.6809
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 786 | score 0.6595
4. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 872 | score 0.4422
5. Full Time Employment Contract  Non-UAE Final.txt | chunk 1729 | score 0.44","The rules for a probation period are as follows:

*   **Duration:**
    *   It may not exceed six (6) months as of the date of commencing work, according to Federal Decree by Law No. (33) of 2021.
    *   For the Federal Government, it is a six-month period as of the date of commencement, which may be extended for three months.
    *   A full-time employment contract example shows a three (3) month probation period, extendible to a further three (3) months.

*   **Purpose:**
    *   It enables the employer to evaluate the worker's performance and the worker to become familiar with job duties and the work environment.
    *   Based on this, it determines whether the employment contract shall be continued or terminated.

*   **Termination by Employer during Probation:**
    *   Under Federal Decree by Law No. (33) of 2021, the employer may terminate service after notifying the worker in writing at least fourteen (14) days prior to the date specified for termination.
    *   For the Federal Government (Executive Regulations), the employer may terminate service after serving a five-working day notice.

*   **Resignation by Employee during Probation (Federal Government - Executive Regulations):**
    *   The employee may resign after notifying the employer by a similar notice (five working days) on the date set for resignation.",209,No,No,,,,,,
