Question No.,Question,Top Retrieved Source,Top Retrieval Score,All Retrieved Sources,Retrieved Chunk Preview,Generated Answer,Correct?,Issues / Notes
1,What is the minimum annual leave in the UAE?,Annual leave _ The Official Platform of the UAE Government.txt,0.7205,"1. Annual leave _ The Official Platform of the UAE Government.txt | chunk 9 | score 0.7205
2. Annual leave _ The Official Platform of the UAE Government.txt | chunk 11 | score 0.7023
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 632 | score 0.419
4. Remote Work Guide in the Private Sector - EN.txt | chunk 1858 | score 0.4067
5. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 631 | score 0.4059","[Chunk 1] Source: Annual leave _ The Official Platform of the UAE Government.txt | Score: 0.7205
Annual Leave Annual leaves are granted in accordance with the Federal Decree Law No. 33 of 2021 on the Regulation of Employment Relationships, the ‘UAE Labour Law’. Employees are entitled to a fully paid annual leave of 30 days, if they have completed one year of service and if the period of service exceeds six months but is less than one year, the...

[Chunk 2] Source: Annual leave _ The Official Platform of the UAE Government.txt | Score: 0.7023
.9 MB).Life in the UAEJobsWorking in the private sectorTypes of leaves and entitlements in the private sectorAnnual leave Annual Leave Employees are entitled to an annual leave if they have completed six months of service.HomeServicesLife in the UAEAbout The UAEMediaYear of family ﻪ   اﻟﻌﺮ  5/10/26, 10:42 PM Annual leave | The Ofﬁcial Platform of t...

[Chunk 3] Source: Executive Regulations Of Human Resources Law in the Federal Government.txt | Score: 0.419
. The special leave shall be granted in the following manner: a. The first 15 days with full pay . b. The following 15 days shall be deducted from the employee's annual leave balance, if any; otherwise it shall be considered unpaid leave. 52 The unpaid special leave may be extended up to one month based on a medical report duly authenticated by the...

[Chunk 4] Source: Remote Work Guide in the Private Sector - EN.txt | Score: 0.4067
. Remote employees shall be entitled to an annual leave of 30 days for each full year of service. For service exceeding six ( 6) months but less than one ( 1) year, the employee shall be entitled to two (2) days for each month of service.Upon the termination of the contractual relationship, the employee shall be entitled to a cash payment in lieu o...

[Chunk 5] Source: Executive Regulations Of Human Resources Law in the Federal Government.txt | Score: 0.4059
. Article (82) Patient Accompanying Leave Outside UAE 1. The Chairman of the Federal Entity , or his/her deputy may grant a national employee a full paid special leave for one month , to accompany a relative up to a second degree , travelling for medical treatment abroad , according to a medical report from an official medical authority. The specia...","I cannot find this information in the available UAE Labour Law documents.

The context states that employees are entitled to annual leave if they have completed six months of service, as per ""Annual leave _ The Official Platform of the UAE Government.txt"". It also states that if the period of service exceeds six months but is less than one year, the employee is entitled to 2 days of leave for each month of service. For those who have completed one year of service, they are entitled to 30 days of annual leave. However, the specific minimum number of days for an employee who has completed *exactly* six months of service is not clearly quantified in the provided text.",,
2,How is end of service gratuity calculated?,Awareness Guide for New Employers Companies - EN_639011571513592816.txt,0.8787,"1. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 28 | score 0.8787
2. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 1032 | score 0.7703
3. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 386 | score 0.7
4. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 390 | score 0.6645
5. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 1080 | score 0.5278","[Chunk 1] Source: Awareness Guide for New Employers Companies - EN_639011571513592816.txt | Score: 0.8787
. The end-of-service gratuity is calculated based on the employee’s last basic wage received. A national employee is entitled to an end-of-service gratuity in accordance with the applicable regulations in the State

[Chunk 2] Source: Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | Score: 0.7703
. Article (51) End -of-Service Gratuity for Full -Time Workers 1. The national Worker is entitled to an end -of-service gratuity upon the end of his service, in accordance with the legislation regulating pensions and social security in force in the State. 2. The foreign full -time Worker, who has completed one or more years of continuous service, i...

[Chunk 3] Source: End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | Score: 0.7
. Days of unpaid absence are not included in service calculations. Workers are entitled to gratuity for fractions of a year, proportionate to the time served, provided they have completed one year of continuous service. The end of service gratuity is calculated on basis of last wage which the worker was entitled to, namely the basic salary. Hence, ...

[Chunk 4] Source: End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | Score: 0.6645
. In all cases, the total gratuity shall not exceed the wage of 2 years. End-Of-Service Gratuity For Part-Time And Other Work Models As per Article 30 of the Cabinet Resolution No. 1 of 2022 on the Implementation of the Regulation of Federal Decree Law No

[Chunk 5] Source: Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | Score: 0.5278
. 3. Subject to the provisions of Clause (2) of this Article, the Employer may calculate the end - of-service gratuity in accordance with the provisions of the indefinite -term employment contract stipulated in the aforementioned Federal Law No. (8) of 1980","The end-of-service gratuity is calculated based on the employee’s last basic wage or basic salary received, and it does not include allowances such as housing, transportation, utilities, or furniture (Source: Awareness Guide for New Employers Companies, End of service benefits for workers in the private sector).

For foreign full-time workers who have completed one or more years of continuous service, the gratuity is calculated according to the basic wage (Source: Federal Decree by Law No. (33) of 2021, Article 51).

Workers are entitled to gratuity for fractions of a year, proportionate to the time served, provided they have completed one year of continuous service (Source: End of service benefits for workers in the private sector).

In all cases, the total gratuity shall not exceed the wage of 2 years (Source: End of service benefits for workers in the private sector).

For national employees, the end-of-service gratuity is calculated in accordance with the legislation regulating pensions and social security in force in the State (Source: Awareness Guide for New Employers Companies, Federal Decree by Law No. (33) of 2021, Article 51).",,
3,What are the rules for probation period?,Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt,0.7233,"1. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 901 | score 0.7233
2. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 822 | score 0.6809
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 786 | score 0.6595
4. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 872 | score 0.4422
5. Full Time Employment Contract  Non-UAE Final.txt | chunk 1729 | score 0.44","[Chunk 1] Source: Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | Score: 0.7233
. Article )9( Probation Period 1. The Employer may appoint the Worker under the Probation Period for a period not exceeding six (6) months as of the date of commencing work, and he may terminate the Worker's service during this period after notifying the Worker in writing at least fourteen (14) days prior to the date specified for termination of se...

[Chunk 2] Source: Executive Regulations Of Human Resources Law in the Federal Government.txt | Score: 0.6809
. Article 5: The Second Party shall undergo a six - month probation period as of the date of commencement, which may be extended for three months. The First Party may terminate the service of the Second Party during this period after serving a five workin g-day notice. The Second Party may resign during the probation period after notifying the Firs...

[Chunk 3] Source: Executive Regulations Of Human Resources Law in the Federal Government.txt | Score: 0.6595
. Article 6: The Second Party shall undergo a six- month probation period as of the date of commencement, which may be extended for three months. The First Party may terminate the service of the Second Party during t his period after serving a five -working day notice. The Second Party may resign during the probation period after notifying the Firs...

[Chunk 4] Source: Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | Score: 0.4422
. Probation Period : The period that may be required by the Employer, which enables the Employer to evaluate the Worker's performance, and enables the Worker to become familiar with his job duties and familiarize himself with the work environment, and according to which he shall determine whether the employment contract shall be continued or termin...

[Chunk 5] Source: Full Time Employment Contract  Non-UAE Final.txt | Score: 0.44
. 12. Return and hand over all documents, files, devices, equipment and other similar items upon separation from service. Article (10): Probation Period A. The Second Party shall be subject to a three (3) month probation period commencing on the commencement date of this Contract, extendible to a further three (3) months, during which time the Firs...","The rules for the probation period under UAE Labour Law are as follows:

**1. General Rules (Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations):**
*   **Duration:** The employer may appoint a worker under a probation period for a period not exceeding six (6) months from the date of commencing work (Article 9).
*   **Termination by Employer:** During the probation period, the employer may terminate the worker's service after notifying the worker in writing at least fourteen (14) days prior to the date specified for termination of service (Article 9).
*   **Purpose:** The probation period enables the employer to evaluate the worker's performance and allows the worker to become familiar with their job duties and the work environment. Based on this, it is determined whether the employment contract shall be continued or terminated.

**2. Rules for the Federal Government (Executive Regulations Of Human Resources Law in the Federal Government):**
*   **Duration:** The probation period is six months from the date of commencement and may be extended for three months (Article 5 and 6).
*   **Termination by Employer:** The employer (First Party) may terminate the service of the employee (Second Party) during this period after serving a five-working day notice (Article 5 and 6).
*   **Resignation by Employee:** The employee (Second Party) may resign during the probation period after notifying the employer (First Party) by a similar (five-working day) notice on the date set for resignation (Article 5 and 6).",,
4,What is the maximum working hours per week?,Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt,0.7533,"1. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 935 | score 0.7533
2. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1206 | score 0.7182
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 467 | score 0.7065
4. Remote Work Guide in the Private Sector - EN.txt | chunk 1856 | score 0.6937
5. Full Time Employment Contract  Non-UAE Final.txt | chunk 1721 | score 0.6292","[Chunk 1] Source: Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | Score: 0.7533
. 11. Perform any other obligations stipulated under the provisions of this Decree by law and its Executive Regulations or any other legislation in force in the State. Article )17( Working Hours 1. The maximum normal working hours for Workers shall be eight (8) hours per day or forty - eight (48) hours per week. 2

[Chunk 2] Source: Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | Score: 0.7182
. Working hours and breaks shall be arranged at an establishment working according to shifts or for some job categories, as per their nature, such as ﬁeld jobs, and according to the workers’ classiﬁcation speciﬁed in the Implementing Regulation hereof.Article (18)1./T_he maximum normal working hours for workers shall be (8) eight hours per day or (...

[Chunk 3] Source: Executive Regulations Of Human Resources Law in the Federal Government.txt | Score: 0.7065
. The percentage equals the ratio of a part -time employee’s work to that of full -time employee 14 b. Official working hours total 7 hours per day c. Working days per year total 240 days d. Working hours for a full -time employee total 1680 hours per year e. Working hours for a part -time employee are the overall working hours the employee is cont...

[Chunk 4] Source: Remote Work Guide in the Private Sector - EN.txt | Score: 0.6937
. Any work performed in excess of the stipulated hours shall be deemed overtime. The employee shall be entitled to overtime pay calculated at the prescribed statutory rates.Working hours are set at 8 hours per day, with a maximum of 48 hours per week, unless the employment contract provides otherwise in accordance with the approved controls

[Chunk 5] Source: Full Time Employment Contract  Non-UAE Final.txt | Score: 0.6292
. Article (8): Official Working Days and Hours A. The official working days and hours for the Second Party shall be from [ insert day ] to [ insert day] and from [ insert start time] to [ insert end time]. [Insert the days off ] are the weekly rest days. The First Party may, for work requirements, apply daily or weekly flexible shifts not exceeding...","The maximum normal working hours for workers shall be forty-eight (48) hours per week.

This is stated in:
*   Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations (Article 17)
*   Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments (Article 18)
*   Remote Work Guide in the Private Sector - EN
*   Full Time Employment Contract Non-UAE Final (Article 8)",,
5,How can an employee file a labour complaint?,Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt,0.6173,"1. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1558 | score 0.6173
2. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1578 | score 0.5675
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1575 | score 0.4087
4. Resolving labour disputes _ The Official Platform of the UAE Government.txt | chunk 1897 | score 0.3983
5. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1577 | score 0.3854","[Chunk 1] Source: Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | Score: 0.6173
. 5.Without prejudice to the worker’s right to file a labour complaint, they shall have the right to file a grievance claim with the management of the establishment against any penalty imposed against them. The grievance claim against the penalty shall be filed with the management of the establishment and the worker shall not be harmed by filing it...

[Chunk 2] Source: Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | Score: 0.5675
. Article (32) Subject to the provisions of Article (56) of the Decree-Law: 1.If a dispute arises between the employer and all the establishment’s workers or a group thereof, and the parties fail to settle it amicably, the complainant shall file a complaint pursuant to the following rules and procedures: a.The complaint shall be filed through the c...

[Chunk 3] Source: Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | Score: 0.4087
.Article (31) ►Collective Labour DisputesSubject to the provisions of Article (54) of the Decree-Law: 1.If the employer, worker or any eligible beneficiary thereof disputes any of the rights accrued to either of them under the Decree-Law, they shall submit a complaint to that effect to the Ministry which shall examine the complaint and take the nec...

[Chunk 4] Source: Resolving labour disputes _ The Official Platform of the UAE Government.txt | Score: 0.3983
. Ministerial Resolution No. 47 of 2022 Regarding the Settlement of Labor Disputes and Complaints Procedures According toMinisterial Resolution No. 47 of 2022 Regarding the Settlement of Labour Disputes and Complaints Procedures(PDF, 350 KB) every worker whose labour complaint has been referred to the Labour Court must: 1. register the labour compl...

[Chunk 5] Source: Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | Score: 0.3854
. The Minister may issue the necessary resolutions regulating the status of the worker and the establishment after referring the complaint to the judiciary. 4.The worker shall have the right to claim two months’ wages if they continue to work for the employer while the referred labour dispute is in the court, in which case the Ministry may require ...","An employee can file a labour complaint through the channels specified by the Ministry, as per Article (32) of the Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments. If a dispute arises concerning rights accrued under the Decree-Law, a complaint can be submitted to the Ministry, which will attempt to settle the dispute amicably, according to Article (31) of the same Decree-Law. Additionally, if a labour complaint has been referred to the Labour Court, the worker must register it with the competent court within a maximum of 14 days from the date of approving the referral to the judiciary, as per Ministerial Resolution No. 47 of 2022.",,
6,Can an employer terminate an employee without notice?,Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt,0.6981,"1. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1953 | score 0.6981
2. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1963 | score 0.6969
3. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1969 | score 0.6877
4. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 735 | score 0.5897
5. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1954 | score 0.4168","[Chunk 1] Source: Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | Score: 0.6981
. If both the employer and employee mutually agree in writing to end itSituations in which an employment contract may be terminated Termination of contract without noticeLife in the UAEJobsWorking in the private sectorJob oﬀers, work permits and contracts Terminating employment contracts and arbitrary dismissal Terminating Employment Contracts And ...

[Chunk 2] Source: Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | Score: 0.6969
. The notice period must be the same for both parties unless it is in favour of the worker. Termination Of Contract Without Notice By The Employer Article 44 of the UAE Labour Law mentions that an employer may terminate the services of the employee without notice, if the latter: 1. adopts a false identity or submits forged documents or certiﬁcates ...

[Chunk 3] Source: Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | Score: 0.6877
. Termination Of Contract Without Notice By The Employee According to Article 45 of the Labour Law, a worker may terminate employment without notice and retain their end-of-service entitlements if the employer: 1. fails to meet his contractual or legal obligations towards the worker, provided that the worker notiﬁes MoHRE 14 working days before the...

[Chunk 4] Source: Executive Regulations Of Human Resources Law in the Federal Government.txt | Score: 0.5897
. An employee shall continue his work until the expiration of the warning period . However, the Federal Entity may, at the request of the employee, reduce the period of notice after accepting the resignation and immediately terminate his services, provided that he agrees to pay the amounts entitled to the entity in lieu of the notice period, or ded...

[Chunk 5] Source: Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | Score: 0.4168
employment contract provided he/she serves notice and complies with other legal consequences of the termination","Yes, an employer may terminate the services of an employee without notice if the employee adopts a false identity or submits forged documents or certificates. This is mentioned in Article 44 of the UAE Labour Law, as found in ""Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt"".",,
7,What is the Wage Protection System?,Awareness Guide for New Employers Companies - EN_639011571513592816.txt,0.7365,"1. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 57 | score 0.7365
2. domestic-workers-employers-guide-en_638924949072877160.txt | chunk 340 | score 0.6968
3. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 54 | score 0.6332
4. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 55 | score 0.6243
5. Wage Protection System (WPS).txt | chunk 1986 | score 0.5722","[Chunk 1] Source: Awareness Guide for New Employers Companies - EN_639011571513592816.txt | Score: 0.7365
.What is the benefit of the Wage Protection System? 14This is an optional system, alternative to the end-of-service gratuity system applicable under Federal Decree by Law Concerning Regulating Labour Relations and its Implementing Regulations. Under this savings scheme, the employer pays a monthly contribution to an investment fund

[Chunk 2] Source: domestic-workers-employers-guide-en_638924949072877160.txt | Score: 0.6968
. The following workers are exempt from the Wage Protection System procedures:The following professions shall be paid through the Wage Protection System for domestic workers:The following professions shall be paid through the Wage Protection System for domestic workers on an optional basis: • Private Trainer • Private Tutor • Personal Healthcare Pr...

[Chunk 3] Source: Awareness Guide for New Employers Companies - EN_639011571513592816.txt | Score: 0.6332
.Timing: From 12:30 PM to 3:00 PM.Application Period: June 15 - September 15 of each year. 12 v Wage Protection System (WPS) 13 v The Wage Protection System (WPS) ensures that employees receive their wages in full and on time. This system allows employers to pay their employees’ wages electronically through banks, exchange houses, and financial ins...

[Chunk 4] Source: Awareness Guide for New Employers Companies - EN_639011571513592816.txt | Score: 0.6243
. Understand the mechanism of the Wage Protection System: On the third and tenth day after the due date, an electronic reminder notice is sent to the establishment that has not complied with paying its employees’ wages. On the seventeenth day after the due date, the issuance of new work permits for the establishment is suspended, the establishment ...

[Chunk 5] Source: Wage Protection System (WPS).txt | Score: 0.5722
. 598 of 2022 Regarding Wages Protection System.When should employers pay salaries? Minimum wagesReport unpaid or delayed salariesLife in the UAEJobsWorking in the private sectorPayment of salaries/wages Payment Of Salaries/Wages Paying wages on the due date is the responsibility of every employer. Private sector employers should ensure to pay thei...","The Wage Protection System (WPS) is a system that ensures employees receive their wages in full and on time. It allows employers to pay their employees' wages electronically through authorized banks, exchange houses, and financial institutions licensed by the Central Bank of the UAE. This is mentioned in the ""Awareness Guide for New Employers Companies"" (Chunk 3). The WPS is an alternative to the end-of-service gratuity system and involves monthly contributions to an investment fund (Chunk 1). Employers are responsible for paying salaries on the due date and should use the WPS to avoid penalties and fines (Chunk 5).",,
8,What are maternity leave rights in the UAE?,Remote Work Guide in the Private Sector - EN.txt,0.7034,"1. Remote Work Guide in the Private Sector - EN.txt | chunk 1861 | score 0.7034
2. Annual leave _ The Official Platform of the UAE Government.txt | chunk 11 | score 0.6566
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 618 | score 0.4396
4. Annual leave _ The Official Platform of the UAE Government.txt | chunk 19 | score 0.4182
5. Annual leave _ The Official Platform of the UAE Government.txt | chunk 9 | score 0.4128","[Chunk 1] Source: Remote Work Guide in the Private Sector - EN.txt | Score: 0.7034
. The leave shall be remunerated 45 days at full pay and 15 days at half pay . In accordance with the governing law of the United Arab Emirates, the employer must not terminate the employee ’s services or issue a disciplinary warning due to pregnancy or the utilization of maternity leave.Maternity Leave Employee Leave Entitlements 9 Study National ...

[Chunk 2] Source: Annual leave _ The Official Platform of the UAE Government.txt | Score: 0.6566
.9 MB).Life in the UAEJobsWorking in the private sectorTypes of leaves and entitlements in the private sectorAnnual leave Annual Leave Employees are entitled to an annual leave if they have completed six months of service.HomeServicesLife in the UAEAbout The UAEMediaYear of family ﻪ   اﻟﻌﺮ  5/10/26, 10:42 PM Annual leave | The Ofﬁcial Platform of t...

[Chunk 3] Source: Executive Regulations Of Human Resources Law in the Federal Government.txt | Score: 0.4396
. Article (76) Paternit y Leave A male employee to whom a live baby was born inside the UAE is entitled to a paid paternity leave for three working days to be taken consecutively or separately during the first month of the child ’s birth. Article (77) 49 Compassionate / Iddah Leave Compassionate Leave: 1. An employee is entitled to a paid compassio...

[Chunk 4] Source: Annual leave _ The Official Platform of the UAE Government.txt | Score: 0.4182
.ae All rights reserved 5/10/26, 10:42 PM Annual leave | The Ofﬁcial Platform of the UAE Government 4/4

[Chunk 5] Source: Annual leave _ The Official Platform of the UAE Government.txt | Score: 0.4128
Annual Leave Annual leaves are granted in accordance with the Federal Decree Law No. 33 of 2021 on the Regulation of Employment Relationships, the ‘UAE Labour Law’. Employees are entitled to a fully paid annual leave of 30 days, if they have completed one year of service and if the period of service exceeds six months but is less than one year, the...",Maternity leave in the UAE consists of 45 days at full pay and 15 days at half pay. Employers are prohibited from terminating an employee's services or issuing a disciplinary warning due to pregnancy or the utilization of maternity leave. This information is based on the Remote Work Guide in the Private Sector.,,
9,What are the rules for remote work in the UAE?,Remote Work Guide in the Private Sector - EN.txt,0.4797,"1. Remote Work Guide in the Private Sector - EN.txt | chunk 1844 | score 0.4797
2. Work permits _ The Official Platform of the UAE Government.txt | chunk 2017 | score 0.4431
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1151 | score 0.4314
4. Work permits _ The Official Platform of the UAE Government.txt | chunk 2031 | score 0.422
5. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 393 | score 0.4198","[Chunk 1] Source: Remote Work Guide in the Private Sector - EN.txt | Score: 0.4797
Issued by the Ministry of Human Resources and Emiratization –United Arab EmiratesRemote Work Guidelines for the Private Sector 2 Remote Work is a flexible work arrangement that enables an employee to perform their professional duties, in whole or in part, outside the employer ’s premises

[Chunk 2] Source: Work permits _ The Official Platform of the UAE Government.txt | Score: 0.4431
. The company’s trade licence must be valid and free of violations. 5/10/26, 10:52 PM Work permits | The Ofﬁcial Platform of the UAE Government 5/12 The worker must meet the conditions stipulated in the applicable legislation for specialised professions or any other roles that require a licence to practise the profession. An individual legally auth...

[Chunk 3] Source: Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | Score: 0.4314
.►Equality and Non-discriminationArticle (4) ►Employment of JuvenilesArticle (5) 10 11 1.It is not permissible to undertake work in the UAE and the employer may not recruit or employ any worker, except after obtaining a work permit from the Ministry as per the provisions of this Decree-Law and its Implementing Regulation. 2./T_he Implementing Regul...

[Chunk 4] Source: Work permits _ The Official Platform of the UAE Government.txt | Score: 0.422
.ae All rights reserved 5/10/26, 10:52 PM Work permits | The Ofﬁcial Platform of the UAE Government 12/12

[Chunk 5] Source: End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | Score: 0.4198
. 33 of 2021 on the Regulation of Employment Relationshipsand its amendments, the UAE Labour Law. Useful links from Ministry of Human Resources and Emiratisation: Resolutions and circulars concerning work in the UAE International agreements concerning worker rights Digital services for employees and employers Tasheel services. employment, if the du...","Remote work is defined as a flexible work arrangement that allows an employee to perform their job duties, entirely or partially, outside of the employer's premises. This is according to the Remote Work Guide in the Private Sector.",,
10,Can an employer reduce salary without employee consent?,Executive Regulations Of Human Resources Law in the Federal Government.txt,0.598,"1. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 527 | score 0.598
2. Cabinet Decision No. 106 of 2022 pertaining to the executive regulations of Federal Decree Law No. 9 of 2022.txt | chunk 129 | score 0.4159
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1226 | score 0.3733
4. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 951 | score 0.3636
5. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 950 | score 0.3581","[Chunk 1] Source: Executive Regulations Of Human Resources Law in the Federal Government.txt | Score: 0.598
. 12. The transfer of an employee shall not result in a decrease in his gross salary unless he agrees in writing . 28 13. Without prejudice to the provisions of item (12) of this Article, the transfer shall not negatively affect an employee ’s acquired rights Article (37) Authority of transfer Authority of transfer shall be as follows: 1

[Chunk 2] Source: Cabinet Decision No. 106 of 2022 pertaining to the executive regulations of Federal Decree Law No. 9 of 2022.txt | Score: 0.4159
. Salary reduction from the salary stipulated in the employment contract. b. In the event that the employer fails to fulfill his contractual obligations stipulated in the employment contract. 2. In the event that the employer or his representative commits any act of assault, humiliation or any form of sexual assault against the domestic worker, he ...

[Chunk 3] Source: Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | Score: 0.3733
. Otherwise, it shall be obliged to pay the wage agreed upon. 2./T_he Implementing Regulation deﬁnes the procedures for the worker to quit work if he is not allowed to perform the work agreed upon in the employment contract. Article (27) ►Minimum Wage /T_he Cabinet may, upon the proposal of the Minister and in coordination with the concerned author...

[Chunk 4] Source: Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | Score: 0.3636
. (33) of 2021 Concerning Regulating Labor Relations 19 consent, and without any interests. b. Recovering the amounts paid to the Worker in excess of his entitlements, provided that the amount deducted shall not exceed twenty percent (20%) of the wage. c. Amounts deducted for the purposes of calculating contributions to bonuses, retirement pensions...

[Chunk 5] Source: Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | Score: 0.3581
. Article (25) Cases of Deduction from Worker's Wage 1. No amount of money shall be deducted from the Worker's wage except in the following cases: a. Recovering loans granted to the Worker, within the maximum monthly deduction rate from the Worker's wage stipulated in this Article, after obtaining the Worker's written Federal Decree by Law No. (33)...","No, an employer generally cannot reduce an employee's salary without their consent.

Specifically:
*   A transfer of an employee shall not result in a decrease in their gross salary unless the employee agrees in writing, as stated in the **Executive Regulations Of Human Resources Law in the Federal Government**.
*   For deductions from a worker's wage, such as recovering loans granted to the worker, written consent is required from the worker, as per **Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations**.",,
